startup_id,founder_id,session,societe,fondateur
C0148,F0260,07/2019,Advanced functionalities for smart home/company WiFi,Lotfi Aguerbaoui
C0149,F0261,07/2019,Zainpulse,Zaineb Rezgui
C0150,F0262,07/2019,Sala7li,Mohamed Aymen Ben Elhaj Mabrouk
C0150,F0263,07/2019,Sala7li,Ines Dhaouadi
C0151,F0264,07/2019,Appinov,Haykel Mrad
C0151,F0265,07/2019,Appinov,Yazid Rahoui
C0151,F0266,07/2019,Appinov,Heni Sabbeh
C0152,F0267,07/2019,AES,Amine Souilhi
C0153,F0268,07/2019,STE VIF PRO,Mohamed Mouldi Ayed
C0153,F0269,07/2019,STE VIF PRO,Sabri Lachaal
C0154,F0270,07/2019,Kademia,Mohamed Ali Jomaa
C0155,F0271,07/2019,Glamour By Riyem,Riyem Saidi
C0156,F0272,07/2019,Greendyzer,Faycal Sessi
C0156,F0273,07/2019,Greendyzer,Bassem Abdelhak
C0156,F0274,07/2019,Greendyzer,Mohamed Nidham Sfar Gandoura
C0157,F0275,07/2019,VR Crystalized,Ahmed Khalil Abdelkhalek
C0157,F0276,07/2019,VR Crystalized,Boulbaba Zitouni
C0158,F0277,08/2019,EVOCRAFT,Ali Belhaj Zahi
C0158,F0278,08/2019,EVOCRAFT,Haythem Dabbabi
C0158,F0279,08/2019,EVOCRAFT,Imen Hajji
C0159,F0280,08/2019,Smart Farm,Bechir Ben Brika
C0159,F0281,08/2019,Smart Farm,Hamza Khechine
C0160,F0282,08/2019,HealUp,Issam Ezzeddine
C0160,F0283,08/2019,HealUp,Imed Ezzeddine
C0160,F0284,08/2019,HealUp,Badi Bouteraa
C0161,F0285,08/2019,MOOVOBRAIN,Khaoula Ben Ahmed
C0161,F0286,08/2019,MOOVOBRAIN,Syrine Ayari
C0161,F0287,08/2019,MOOVOBRAIN,Ghofrane Ayari
C0161,F0288,08/2019,MOOVOBRAIN,Souleima Ben Temim
C0162,F0289,08/2019,Dataperformers,Mehdi Merai
C0163,F0290,08/2019,Appro.tn (L6),Slim Amamou
C0163,F0291,08/2019,Appro.tn (L6),Nabegh Bechir Hatira
C0163,F0292,08/2019,Appro.tn (L6),Hassen Marzouki
C0164,F0293,08/2019,FoundPad,Mehdi Nakouri
C0164,F0294,08/2019,FoundPad,Hazem Mhiri
C0165,F0295,08/2019,KAPTY SARL,Amine Allah Manai
C0165,F0296,08/2019,KAPTY SARL,Khaled Dridi
C0166,F0297,08/2019,OTO TRAVEL,Elyes Elloumi
C0166,F0298,08/2019,OTO TRAVEL,Ali ABid
C0167,F0299,08/2019,IDEAL CONCEPTION,Mehdi Zaabar
C0168,F0300,08/2019,iCompass,Ahmed Nouisser
C0168,F0301,08/2019,iCompass,Mohamed Hatem Haddad
C0169,F0302,08/2019,eDream Commerce,Kacem Ghozzi
C0169,F0303,08/2019,eDream Commerce,Nebyl Ben Attia
C0170,F0304,08/2019,Vsober,Syrine Boudriga
C0170,F0305,08/2019,Vsober,Mohamed Ala eddine Ben Trad
C0171,F0306,08/2019,Société institution des modes alternatifs de règlement des litiges,Kaouther Selmi
C0171,F0307,08/2019,Société institution des modes alternatifs de règlement des litiges,Khalil Ben Salah
C0172,F0308,08/2019,Historio,Youssef Boufaied
C0172,F0309,08/2019,Historio,Mustapha Gharbi
C0172,F0310,08/2019,Historio,Marwen Sami
C0172,F0311,08/2019,Historio,Skander Amor
C0173,F0312,08/2019,NACHD-IT,Ahmed Ben Hssouna
