decision_id;company_name;founder_name;session
S2_D0016;profils.tn;Imen Maghar;05/2019
S2_D0017;Go Up Stand Up (Goupsup);Hazem Guent;05/2019
S2_D0017;Go Up Stand Up (Goupsup);Yassine Dimassi;05/2019
S2_D0018;TransFacile;Oussema Marai;05/2019
S2_D0018;TransFacile;Ghada Chelly;05/2019
S2_D0019;Asklepios;Marwen Badri;05/2019
S2_D0019;Asklepios;Youssef El Behi;05/2019
S2_D0020;Bookingtodo;Aziz Annabi;05/2019
S2_D0021;Industry X.0;Bilel Labidi;05/2019
S2_D0021;Industry X.0;Med Abdel Aziz Battikh;05/2019
S2_D0022;Bon'Heure;Nour Tekaya;05/2019
S2_D0022;Bon'Heure;Iskander Gafsi;05/2019
S2_D0023;Be bouncy;Ayoub Ben younes;05/2019
S2_D0023;Be bouncy;Sophie Alexandra Aiachi;05/2019
S2_D0024;Domotec;Hichem Moalla;05/2019
S2_D0024;Domotec;Yahia Moalla;05/2019
S2_D0025;Vim It;Imen Issaoui;05/2019
S2_D0026;Indigo Business Solutions;Mohamed Aloulou;05/2019
S2_D0027;Professional System;Hichem Ben Hammouda;05/2019
S2_D0028;Beego;Mohamed Amine Sammari;05/2019
S2_D0029;B'rain;Rami Boudaya;05/2019
S2_D0030;Développement d'applications comptables, gestion, finance;Mehdi Mabrouk;05/2019
S3_D0001;DEEPERA;Faouzi Moussa;06/2019
S3_D0001;DEEPERA;Mustapha Boughzou;06/2019
S3_D0002;FABSKILL;Sofiane Mabrouk;06/2019
S3_D0002;FABSKILL;Bechir Afifi;06/2019
S3_D0002;FABSKILL;Mohamed Ben Sfar;06/2019
S3_D0003;MajestEYE;Jihed Hannachi;06/2019
S3_D0003;MajestEYE;Rabie Saidi;06/2019
S3_D0003;MajestEYE;Soufien Ben Hamza;06/2019
S3_D0004;HERUNDO;Nizar Bouguila;06/2019
S3_D0004;HERUNDO;Bessem Jallouli;06/2019
S3_D0004;HERUNDO;Mohamed Boujelban;06/2019
S3_D0005;BioIntrants Technologie;Yassine Ben Menadi;06/2019
S3_D0005;BioIntrants Technologie;Chedli Ben Menadi;06/2019
S3_D0006;JUNIOR NETWORK;Sahar Ben Rached;06/2019
S3_D0006;JUNIOR NETWORK;Zeineb Chabchoub;06/2019
S3_D0006;JUNIOR NETWORK;Oussema Ksontini;06/2019
S3_D0007;Siteflow Factory;Samed Jalouali;06/2019
S3_D0007;Siteflow Factory;Timothée Piette;06/2019
S3_D0007;Siteflow Factory;Etienne Barrault;06/2019
S3_D0007;Siteflow Factory;Louis Hauvette;06/2019
S3_D0008;Insight+;Adel Jenni;06/2019
S3_D0008;Insight+;Imed Kouki;06/2019
S3_D0009;DATAERA;Hedi Zouari;06/2019
S3_D0009;DATAERA;Maher Heni;06/2019
S3_D0010;SF Technologies;Mohamed Taher Hammami;06/2019
S3_D0011;CREATIVE CULINARY;Aziz Ben Chedli;06/2019
S3_D0012;SAFOZI SARL;Zied Ouled Ali;06/2019
S3_D0013;NEXTPROTEIN TUNISIA;Mohamed Gastli;06/2019
S3_D0013;NEXTPROTEIN TUNISIA;Syrine Chaalala;06/2019
S3_D0014;SENIATNA;Neil Boussofara;06/2019
S3_D0015;VME Internationale;Foued Ben Babis;06/2019
S3_D0015;VME Internationale;Montassar Gharsa;06/2019
S3_D0016;Zoor;Mahdi Houli;06/2019
S3_D0016;Zoor;Radhi Houli;06/2019
S3_D0017;Natalista;Rim Besbes;06/2019
S3_D0018;Videsys;Abdelaziz Ktari;06/2019
S3_D0018;Videsys;Walid Messaoudia;06/2019
S3_D0019;AYSHEK;Amine Dimassi;06/2019
S3_D0019;AYSHEK;Mohamed Amine Baatout;06/2019
S3_D0020;Kidsbook;Mohamed Nadhir Belkhir;06/2019
S3_D0020;Kidsbook;Hafedh Dziri;06/2019
S3_D0021;Hezni Maak;Youssef Meksi;06/2019
S3_D0022;Pool & Fish Farm Smart Water Management;Afef Bohli;06/2019
S3_D0022;Pool & Fish Farm Smart Water Management;Sami Tabbane;06/2019
S3_D0023;Massart Engineering;Mahdi Ghribi;06/2019
S3_D0024;MyCity;Mohamed Sami Rahoui;06/2019
S3_D0025;Tisopia;Wala Kasmi;06/2019
S3_D0025;Tisopia;Mohamed Boumiza;06/2019
S3_D0026;TUNMOB SA (DIGIT-U);Houssine Midouni;06/2019
S3_D0027;SMAAO Tunisie;Amjed Ben Salah;06/2019
S3_D0028;Iris technologies;Khaled Bouchoucha;06/2019
S3_D0029;Agri Land;Saifeddine Kacem;06/2019
S3_D0029;Agri Land;AyetAllah Hlaiem;06/2019
